id,scheduler_name,train_data,num_heuristics,resource_allocation,splitting_rule,model_num_train,list_resource_heuristics,num_experiments,render_mode,model_name,test_data,job_arrival_rate,job_arrival_cap
1,"""HyperHeuristicScheduler""","""TPCHDataSampler""",2,"""DRA""","""None""",10,,20,"""None""","""2_DRA_cap100_int48_exec20""","""TPCHDataSampler""",0.020833333,100
1,"""HyperHeuristicScheduler""","""TPCHDataSampler""",2,"""DRA""","""None""",50,,20,"""None""","""2_DRA_cap100_int48_exec20""","""TPCHDataSampler""",0.020833333,100
7,"""DecimaScheduler""","""TPCHDataSampler""",2,"""DNN""","""None""",10,,20,"""None""","""cap100_int48_exec20""","""TPCHDataSampler""",0.020833333,100
7,"""DecimaScheduler""","""TPCHDataSampler""",2,"""DNN""","""None""",50,,20,"""None""","""cap100_int48_exec20""","""TPCHDataSampler""",0.020833333,100
1,"""HyperHeuristicScheduler""","""TPCHDataSampler""",2,"""DRA""","""None""",10,,20,"""None""","""2_DRA_cap100_int48_exec20""","""TPCHDataSampler""",2.08333E-05,100
1,"""HyperHeuristicScheduler""","""TPCHDataSampler""",2,"""DRA""","""None""",50,,20,"""None""","""2_DRA_cap100_int48_exec20""","""TPCHDataSampler""",2.08333E-05,100
7,"""DecimaScheduler""","""TPCHDataSampler""",2,"""DNN""","""None""",10,,20,"""None""","""cap100_int48_exec20""","""TPCHDataSampler""",2.08333E-05,100
7,"""DecimaScheduler""","""TPCHDataSampler""",2,"""DNN""","""None""",50,,20,"""None""","""cap100_int48_exec20""","""TPCHDataSampler""",2.08333E-05,100
1,"""HyperHeuristicScheduler""","""TPCHDataSampler""",2,"""DRA""","""None""",10,,20,"""None""","""2_DRA_cap100_int48_exec20""","""AlibabaDataSampler""",0.000125,100
1,"""HyperHeuristicScheduler""","""TPCHDataSampler""",2,"""DRA""","""None""",50,,20,"""None""","""2_DRA_cap100_int48_exec20""","""AlibabaDataSampler""",0.000125,100
7,"""DecimaScheduler""","""TPCHDataSampler""",2,"""DNN""","""None""",10,,20,"""None""","""cap100_int48_exec20""","""AlibabaDataSampler""",0.000125,100
7,"""DecimaScheduler""","""TPCHDataSampler""",2,"""DNN""","""None""",50,,20,"""None""","""cap100_int48_exec20""","""AlibabaDataSampler""",0.000125,100
